Indicator,Sub-indicator,Value,,,,,,,,,,,,,,,
Long-run Economic,GDP,0.20%,,,,,,,,,,,,,,,
Long-run Economic,GNP,0.20%,,,,,,,,,,,,,,,
Long-run Economic,Capital Stock,0.20%,,,,,,,,,,,,,,,
Long-run Economic,Wage Rate,0.00%,,,,,,,,,,,,,,,
Long-run Economic,Full-Time Equivalent Jobs,"179,340",,,,-$50.6,-$58.8,-$60.9,-$62.4,-$64.9,-$66.2,-$68.6,-$70.9,-$73.2,-$75.4,-$651.8,
Conventional Revenue,2022,-50.58,,,,-$42.6,-$50.1,-$51.8,-$52.9,-$54.7,-$55.1,-$57.0,-$58.7,-$60.5,-$62.2,-$545.4,
Conventional Revenue,2023,-58.8,,,,,,,,,,,,,,,
Conventional Revenue,2024,-60.87,,,,,,,,,,,,,,,
Conventional Revenue,2025,-62.43,,,,,,,,,,,,,,,
Conventional Revenue,2026,-64.86,,,,,,,,,,,,,,,
Conventional Revenue,2027,-66.19,,,,,,,,,,,,,,,
Conventional Revenue,2028,-68.57,,,,,,,,,,,,,,,
Conventional Revenue,2029,-70.89,,,,,,,,,,,,,,,
Conventional Revenue,2030,-73.21,,,,,,,,,,,,,,,
Conventional Revenue,2031,-75.43,,,,,,,,,,,,,,,
Conventional Revenue,2022 - 2031,-651.84,,,,,,,,,,,,,,,
Dynamic Revenue,2022,-42.55,,,,,,,,,,,,,,,
Dynamic Revenue,2023,-50.05,,,,,,,,,,,,,,,
Dynamic Revenue,2024,-51.79,,,,,,,,,,,,,,,
Dynamic Revenue,2025,-52.9,,,,,,,,,,,,,,,
Dynamic Revenue,2026,-54.65,,,,,,,,,,,,,,,
Dynamic Revenue,2027,-55.09,,,,,,,,,,,,,,,
Dynamic Revenue,2028,-57.01,,,,,,,,,,,,,,,
Dynamic Revenue,2029,-58.73,,,,,,,,,,,,,,,
Dynamic Revenue,2030,-60.47,,,,,,,,,,,,,,,
Dynamic Revenue,2031,-62.2,,,,,,,,,,,,,,,
Dynamic Revenue,2022 - 2031,-545.44,,,,,,,,,,,,,,,
2022 Conventional Distribution,0% - 20.0%,0.4%,,,,,,,,,,,,,,,
2022 Conventional Distribution,20.0% - 40.0%,0.6%,,,,,,,,,,,,,,,
2022 Conventional Distribution,40.0% - 60.0%,0.8%,,,,,,,,,,,,,,,
2022 Conventional Distribution,60.0% - 80.0%,0.8%,,,,,,,,,,,,,,,
2022 Conventional Distribution,80.0% - 100%,0.5%,,,,,,,,,,,,,,,
2022 Conventional Distribution,80.0% - 90.0%,0.8%,,,,,,,,,,,,,,,
2022 Conventional Distribution,90.0% - 95.0%,0.8%,,,,,,,,,,,,,,,
2022 Conventional Distribution,95.0% - 99.0%,0.6%,,,,,,,,,,,,,,,
2022 Conventional Distribution,99.0% - 100%,0.1%,,,,,,,,,,,,,,,
2022 Conventional Distribution,TOTAL FOR ALL,0.7%,,,,,,,,,,,,,,,
2031 Conventional Distribution,0% - 20.0%,0.4%,,,,,,,,,,,,,,,
2031 Conventional Distribution,20.0% - 40.0%,0.7%,,,,,,,,,,,,,,,
2031 Conventional Distribution,40.0% - 60.0%,0.8%,,,,,,,,,,,,,,,
2031 Conventional Distribution,60.0% - 80.0%,0.8%,,,,,,,,,,,,,,,
2031 Conventional Distribution,80.0% - 100%,0.6%,,,,,,,,,,,,,,,
2031 Conventional Distribution,80.0% - 90.0%,0.8%,,,,,,,,,,,,,,,
2031 Conventional Distribution,90.0% - 95.0%,0.8%,,,,,,,,,,,,,,,
2031 Conventional Distribution,95.0% - 99.0%,0.6%,,,,,,,,,,,,,,,
2031 Conventional Distribution,99.0% - 100%,0.2%,,,,,,,,,,,,,,,
2031 Conventional Distribution,TOTAL FOR ALL,0.7%,,,,,,,,,,,,,,,
Long-run Dynamic Distribution,0% - 20.0%,0.5%,,,,,,,,,,,,,,,
Long-run Dynamic Distribution,20.0% - 40.0%,0.8%,,,,,,,,,,,,,,,
Long-run Dynamic Distribution,40.0% - 60.0%,0.9%,,,,,,,,,,,,,,,
Long-run Dynamic Distribution,60.0% - 80.0%,0.9%,,,,,,,,,,,,,,,
Long-run Dynamic Distribution,80.0% - 100%,0.7%,,,,,,,,,,,,,,,
Long-run Dynamic Distribution,80.0% - 90.0%,0.9%,,,,,,,,,,,,,,,
Long-run Dynamic Distribution,90.0% - 95.0%,0.9%,,,,,,,,,,,,,,,
Long-run Dynamic Distribution,95.0% - 99.0%,0.7%,,,,,,,,,,,,,,,
Long-run Dynamic Distribution,99.0% - 100%,0.3%,,,,,,,,,,,,,,,
Long-run Dynamic Distribution,TOTAL FOR ALL,0.8%,,,,,,,,,,,,,,,
