Indicator,Sub-indicator,Value
Long-run Economic,GDP,-0.011877579
Long-run Economic,GNP,-0.01328639
Long-run Economic,Capital Stock,-0.009444312
Long-run Economic,Wage Rate,-0.040339692
Long-run Economic,Full-Time Equivalent Jobs,-930672.0489
Conventional Revenue,2022,564.84
Conventional Revenue,2023,585.63
Conventional Revenue,2024,611.53
Conventional Revenue,2025,637.31
Conventional Revenue,2026,658.06
Conventional Revenue,2027,680.81
Conventional Revenue,2028,708.58
Conventional Revenue,2029,735.37
Conventional Revenue,2030,763.03
Conventional Revenue,2031,791.8
Conventional Revenue,2022 - 2031,6736.96
Dynamic Revenue,2022,455.29
Dynamic Revenue,2023,465.26
Dynamic Revenue,2024,486.5
Dynamic Revenue,2025,507.62
Dynamic Revenue,2026,520.22
Dynamic Revenue,2027,535.17
Dynamic Revenue,2028,556.78
Dynamic Revenue,2029,577.64
Dynamic Revenue,2030,599.35
Dynamic Revenue,2031,620.91
Dynamic Revenue,2022 - 2031,5324.74
2022 Conventional Distribution,0% - 20.0%,-3.92%
2022 Conventional Distribution,20.0% - 40.0%,-3.51%
2022 Conventional Distribution,40.0% - 60.0%,-3.62%
2022 Conventional Distribution,60.0% - 80.0%,-3.41%
2022 Conventional Distribution,80.0% - 100%,-3.12%
2022 Conventional Distribution,80.0% - 90.0%,-3.19%
2022 Conventional Distribution,90.0% - 95.0%,-3.31%
2022 Conventional Distribution,95.0% - 99.0%,-3.34%
2022 Conventional Distribution,99.0% - 100%,-2.71%
2022 Conventional Distribution,TOTAL FOR ALL,-3.35%
2031 Conventional Distribution,0% - 20.0%,-3.81%
2031 Conventional Distribution,20.0% - 40.0%,-3.47%
2031 Conventional Distribution,40.0% - 60.0%,-3.52%
2031 Conventional Distribution,60.0% - 80.0%,-3.34%
2031 Conventional Distribution,80.0% - 100%,-3.08%
2031 Conventional Distribution,80.0% - 90.0%,-3.15%
2031 Conventional Distribution,90.0% - 95.0%,-3.23%
2031 Conventional Distribution,95.0% - 99.0%,-3.28%
2031 Conventional Distribution,99.0% - 100%,-2.73%
2031 Conventional Distribution,TOTAL FOR ALL,-3.30%
Long-run Dynamic Distribution,0% - 20.0%,-4.80%
Long-run Dynamic Distribution,20.0% - 40.0%,-4.51%
Long-run Dynamic Distribution,40.0% - 60.0%,-4.54%
Long-run Dynamic Distribution,60.0% - 80.0%,-4.29%
Long-run Dynamic Distribution,80.0% - 100%,-3.94%
Long-run Dynamic Distribution,80.0% - 90.0%,-4.08%
Long-run Dynamic Distribution,90.0% - 95.0%,-4.15%
Long-run Dynamic Distribution,95.0% - 99.0%,-4.16%
Long-run Dynamic Distribution,99.0% - 100%,-3.45%
Long-run Dynamic Distribution,TOTAL FOR ALL,-4.22%
