Indicator,Sub-indicator,Value
Long-run Economic,GDP,-0.00917282937435635
Long-run Economic,GNP,-0.010057789252420436
Long-run Economic,Capital Stock,-0.010485052378058711
Long-run Economic,Wage Rate,-0.0006975144758682337
Long-run Economic,Full-Time Equivalent Jobs,-960735.0633808237
Conventional Revenue,2022,171.91
Conventional Revenue,2023,180.74
Conventional Revenue,2024,187.55
Conventional Revenue,2025,198.01
Conventional Revenue,2026,194.51
Conventional Revenue,2027,214.56
Conventional Revenue,2028,223.94
Conventional Revenue,2029,233.38
Conventional Revenue,2030,242.8
Conventional Revenue,2031,256.36
Conventional Revenue,2022 - 2031,2103.78
Dynamic Revenue,2022,131.31
Dynamic Revenue,2023,136.59
Dynamic Revenue,2024,141.3
Dynamic Revenue,2025,149.47
Dynamic Revenue,2026,136.26
Dynamic Revenue,2027,151.19
Dynamic Revenue,2028,157.14
Dynamic Revenue,2029,163.38
Dynamic Revenue,2030,169.36
Dynamic Revenue,2031,179.01
Dynamic Revenue,2022 - 2031,1515.02
2022 Conventional Distribution,0% - 20.0%,-0.0
2022 Conventional Distribution,20.0% - 40.0%,-0.0023
2022 Conventional Distribution,40.0% - 60.0%,-0.0060999999999999995
2022 Conventional Distribution,60.0% - 80.0%,-0.0088
2022 Conventional Distribution,80.0% - 100%,-0.0182
2022 Conventional Distribution,80.0% - 90.0%,-0.0118
2022 Conventional Distribution,90.0% - 95.0%,-0.0143
2022 Conventional Distribution,95.0% - 99.0%,-0.0179
2022 Conventional Distribution,99.0% - 100%,-0.0278
2022 Conventional Distribution,TOTAL FOR ALL,-0.013000000000000001
2031 Conventional Distribution,0% - 20.0%,0.0
2031 Conventional Distribution,20.0% - 40.0%,-0.0002
2031 Conventional Distribution,40.0% - 60.0%,-0.0034999999999999996
2031 Conventional Distribution,60.0% - 80.0%,-0.0075
2031 Conventional Distribution,80.0% - 100%,-0.0191
2031 Conventional Distribution,80.0% - 90.0%,-0.011200000000000002
2031 Conventional Distribution,90.0% - 95.0%,-0.0144
2031 Conventional Distribution,95.0% - 99.0%,-0.0195
2031 Conventional Distribution,99.0% - 100%,-0.0304
2031 Conventional Distribution,TOTAL FOR ALL,-0.0127
Long-run Dynamic Distribution,0% - 20.0%,-0.0072
Long-run Dynamic Distribution,20.0% - 40.0%,-0.0077
Long-run Dynamic Distribution,40.0% - 60.0%,-0.0108
Long-run Dynamic Distribution,60.0% - 80.0%,-0.0144
Long-run Dynamic Distribution,80.0% - 100%,-0.025699999999999997
Long-run Dynamic Distribution,80.0% - 90.0%,-0.0179
Long-run Dynamic Distribution,90.0% - 95.0%,-0.0212
Long-run Dynamic Distribution,95.0% - 99.0%,-0.0262
Long-run Dynamic Distribution,99.0% - 100%,-0.0366
Long-run Dynamic Distribution,TOTAL FOR ALL,-0.0195
