Indicator,Sub-indicator,Value
Long-run Economic,GDP,0.00
Long-run Economic,GNP,0.00
Long-run Economic,Capital Stock,0.00
Long-run Economic,Wage Rate,0.00
Long-run Economic,Full-Time Equivalent Jobs,748.29
Conventional Revenue,2022,-1.31
Conventional Revenue,2023,-1.27
Conventional Revenue,2024,-1.37
Conventional Revenue,2025,-1.38
Conventional Revenue,2026,-1.34
Conventional Revenue,2027,-1.51
Conventional Revenue,2028,-1.62
Conventional Revenue,2029,-1.68
Conventional Revenue,2030,-1.75
Conventional Revenue,2031,-1.85
Conventional Revenue,2022 - 2031,-15.08
Dynamic Revenue,2022,-1.32
Dynamic Revenue,2023,-1.29
Dynamic Revenue,2024,-1.40
Dynamic Revenue,2025,-1.43
Dynamic Revenue,2026,-1.32
Dynamic Revenue,2027,-1.49
Dynamic Revenue,2028,-1.59
Dynamic Revenue,2029,-1.65
Dynamic Revenue,2030,-1.71
Dynamic Revenue,2031,-1.80
Dynamic Revenue,2022 - 2031,-14.99
2022 Conventional Distribution,0% - 20.0%,0.00
2022 Conventional Distribution,20.0% - 40.0%,0.00
2022 Conventional Distribution,40.0% - 60.0%,0.00
2022 Conventional Distribution,60.0% - 80.0%,0.00
2022 Conventional Distribution,80.0% - 100%,0.00
2022 Conventional Distribution,80.0% - 90.0%,0.00
2022 Conventional Distribution,90.0% - 95.0%,0.00
2022 Conventional Distribution,95.0% - 99.0%,0.00
2022 Conventional Distribution,99.0% - 100%,0.00
2022 Conventional Distribution,TOTAL FOR ALL,0.00
2031 Conventional Distribution,0% - 20.0%,0.00
2031 Conventional Distribution,20.0% - 40.0%,0.00
2031 Conventional Distribution,40.0% - 60.0%,0.00
2031 Conventional Distribution,60.0% - 80.0%,0.00
2031 Conventional Distribution,80.0% - 100%,0.00
2031 Conventional Distribution,80.0% - 90.0%,0.00
2031 Conventional Distribution,90.0% - 95.0%,0.00
2031 Conventional Distribution,95.0% - 99.0%,0.00
2031 Conventional Distribution,99.0% - 100%,0.00
2031 Conventional Distribution,TOTAL FOR ALL,0.00
Long-run Dynamic Distribution,0% - 20.0%,0.00
Long-run Dynamic Distribution,20.0% - 40.0%,0.00
Long-run Dynamic Distribution,40.0% - 60.0%,0.00
Long-run Dynamic Distribution,60.0% - 80.0%,0.00
Long-run Dynamic Distribution,80.0% - 100%,0.00
Long-run Dynamic Distribution,80.0% - 90.0%,0.00
Long-run Dynamic Distribution,90.0% - 95.0%,0.00
Long-run Dynamic Distribution,95.0% - 99.0%,0.00
Long-run Dynamic Distribution,99.0% - 100%,0.00
Long-run Dynamic Distribution,TOTAL FOR ALL,0.00
