Indicator,Sub-indicator,Value
Long-run Economic,GDP,-0.002052355
Long-run Economic,GNP,-0.00229305
Long-run Economic,Capital Stock,-0.001604864
Long-run Economic,Wage Rate,-0.007132783
Long-run Economic,Full-Time Equivalent Jobs,-159810.056
Conventional Revenue,2022,99.62
Conventional Revenue,2023,103.31
Conventional Revenue,2024,107.85
Conventional Revenue,2025,112.42
Conventional Revenue,2026,116.13
Conventional Revenue,2027,120.12
Conventional Revenue,2028,124.99
Conventional Revenue,2029,129.73
Conventional Revenue,2030,134.58
Conventional Revenue,2031,139.64
Conventional Revenue,2022 - 2031,1188.39
Dynamic Revenue,2022,80.64
Dynamic Revenue,2023,82.37
Dynamic Revenue,2024,86.18
Dynamic Revenue,2025,90.01
Dynamic Revenue,2026,92.36
Dynamic Revenue,2027,94.89
Dynamic Revenue,2028,98.67
Dynamic Revenue,2029,102.49
Dynamic Revenue,2030,106.24
Dynamic Revenue,2031,110.11
Dynamic Revenue,2022 - 2031,943.95
2022 Conventional Distribution,0% - 20.0%,-0.0053
2022 Conventional Distribution,20.0% - 40.0%,-0.0047
2022 Conventional Distribution,40.0% - 60.0%,-0.0049
2022 Conventional Distribution,60.0% - 80.0%,-0.0046
2022 Conventional Distribution,80.0% - 100%,-0.0042
2022 Conventional Distribution,80.0% - 90.0%,-0.0043
2022 Conventional Distribution,90.0% - 95.0%,-0.0044
2022 Conventional Distribution,95.0% - 99.0%,-0.0044
2022 Conventional Distribution,99.0% - 100%,-0.0034
2022 Conventional Distribution,TOTAL FOR ALL,-0.0045
2031 Conventional Distribution,0% - 20.0%,-0.0051
2031 Conventional Distribution,20.0% - 40.0%,-0.0046
2031 Conventional Distribution,40.0% - 60.0%,-0.0047
2031 Conventional Distribution,60.0% - 80.0%,-0.0045
2031 Conventional Distribution,80.0% - 100%,-0.004
2031 Conventional Distribution,80.0% - 90.0%,-0.0042
2031 Conventional Distribution,90.0% - 95.0%,-0.0043
2031 Conventional Distribution,95.0% - 99.0%,-0.0043
2031 Conventional Distribution,99.0% - 100%,-0.0035
2031 Conventional Distribution,TOTAL FOR ALL,-0.0044
Long-run Dynamic Distribution,0% - 20.0%,-0.007
Long-run Dynamic Distribution,20.0% - 40.0%,-0.0066
Long-run Dynamic Distribution,40.0% - 60.0%,-0.0066
Long-run Dynamic Distribution,60.0% - 80.0%,-0.0062
Long-run Dynamic Distribution,80.0% - 100%,-0.0057
Long-run Dynamic Distribution,80.0% - 90.0%,-0.0059
Long-run Dynamic Distribution,90.0% - 95.0%,-0.0061
Long-run Dynamic Distribution,95.0% - 99.0%,-0.006
Long-run Dynamic Distribution,99.0% - 100%,-0.0048
Long-run Dynamic Distribution,TOTAL FOR ALL,-0.0061
